,Scientific_name,English_name,Recording_ID,Library,Country,Locality,Latitude,Longitude,Date,Recordist,URL
19,Adelomyia melanogenys,Speckled Hummingbird,BRL0160,British Library,Colombia,Parque Nacional Munchique,NA,NA,1988-08,NA,NA
20,Adelomyia melanogenys,Speckled Hummingbird,ML80840,Macaulay Library,Colombia,"Cundinamarca,,Medina, Cuenca Rio Gazaunta",4.5833333,-73.4166667,28/02/97,"Alvarez, Mauricio",https://macaulaylibrary.org/asset/80840
21,Adelomyia melanogenys,Speckled Hummingbird,ML80942,Macaulay Library,Colombia,"Cundinamarca,,Medina, Cuenca Rio Gazaunta",4.5833333,-73.4333333,10/03/97,"Alvarez, Mauricio",https://macaulaylibrary.org/asset/80942
22,Adelomyia melanogenys,Speckled Hummingbird,ML80944,Macaulay Library,Colombia,"Cundinamarca,,Medina, Cuenca Rio Gazaunta",4.5833333,-73.4333333,10/03/97,"Alvarez, Mauricio",https://macaulaylibrary.org/asset/80944
23,Adelomyia melanogenys,Speckled Hummingbird,ML80946,Macaulay Library,Colombia,"Cundinamarca,,Medina, Cuenca Rio Gazaunta",4.5833333,-73.4333333,10/03/97,"Alvarez, Mauricio",https://macaulaylibrary.org/asset/80946
24,Adelomyia melanogenys,Speckled Hummingbird,ML80164,Macaulay Library,Ecuador,"Manabí,,Parque Nacional Machalilla; Cerro San Sebastian",-1.6,-80.7,22/01/91,"Parker, III, Theodore A",https://macaulaylibrary.org/asset/80164
25,Adelomyia melanogenys,Speckled Hummingbird,ML21693,Macaulay Library,Peru,"Cajamarca,,E Slope Cerro Chinguela",-5.12,-79.38,21/06/80,"Parker, III, Theodore A",https://macaulaylibrary.org/asset/21693
26,Adelomyia melanogenys,Speckled Hummingbird,ML515603,Macaulay Library,Peru,"Cajamarca,,Quebrada Las Palmas",-5.2772212,-78.9958191,29/07/98,"Lane, Daniel F",https://macaulaylibrary.org/asset/515603
27,Adelomyia melanogenys,Speckled Hummingbird,ML92178,Macaulay Library,Peru,"Junín,,Cordillera Vilcabamba; headwaters Rio Poyeni",-11.55,-73.6333333,26/06/97,"Schulenberg, Thomas S",https://macaulaylibrary.org/asset/92178
28,Adelomyia melanogenys,Speckled Hummingbird,ML92426,Macaulay Library,Peru,"Junín,,Cordillera Vilcabamba; headwaters Rio Poyeni",-11.55,-73.6333333,28/06/97,"Schulenberg, Thomas S",https://macaulaylibrary.org/asset/92426
29,Adelomyia melanogenys,Speckled Hummingbird,ML68851,Macaulay Library,Venezuela,"Aragua,,Rancho Grande; Pica de la Toma (far side)",10.3666667,-67.6833333,16/05/69,"Schwartz, Paul A",https://macaulaylibrary.org/asset/68851
30,Adelomyia melanogenys,Speckled Hummingbird,1712,Xeno-Canto,Bolivia,"Chillaguatas, Tariquia, Tarija",-22.1001,-64.4334,7/10/92,Sjoerd Mayer,http://www.xeno-canto.org/1712
31,Adelomyia melanogenys,Speckled Hummingbird,2930,Xeno-Canto,Bolivia,"Old road Cochabamba - Villa Tunari; Carrasco NP, Cochabamba",-17.167,-65.583,3/10/97,A. Bennett Hennessey,http://www.xeno-canto.org/2930
32,Adelomyia melanogenys,Speckled Hummingbird,3473,Xeno-Canto,Bolivia,"Old rd Cochabamba - V. Tunari, Camp 3; Carrasco NP, Cochabamba",-17.167,-65.583,18/07/96,Sebastian K. Herzog,http://www.xeno-canto.org/3473
33,Adelomyia melanogenys,Speckled Hummingbird,43901,Xeno-Canto,Bolivia,"Urpuma, Sandillani, PNN Cotapata, La Paz",-16.2223,-67.8762,2007-12-00,Thomas Donegan,http://www.xeno-canto.org/43901
34,Adelomyia melanogenys,Speckled Hummingbird,14023,Xeno-Canto,Colombia,"RNA Reinita Cielo Azul, San Vicente de Chucuri, Santander",6.8464,-73.3751,16/06/07,Bradley Davis,http://www.xeno-canto.org/14023
35,Adelomyia melanogenys,Speckled Hummingbird,18358,Xeno-Canto,Colombia,Rogitama (Reserva Principe de Arcabuco),5.779625,-73.44635,21/02/08,Herman van Oosten,http://www.xeno-canto.org/18358
36,Adelomyia melanogenys,Speckled Hummingbird,24144,Xeno-Canto,Colombia,Rogitama (Reserva Principe de Arcabuco),5.779625,-73.44635,31/10/08,Oswaldo Cortes,http://www.xeno-canto.org/24144
37,Adelomyia melanogenys,Speckled Hummingbird,27420,Xeno-Canto,Colombia,Antioquia: Páramo de Frontino,6.4334,-76.0834,16/08/04,Niels Krabbe,http://www.xeno-canto.org/27420
38,Adelomyia melanogenys,Speckled Hummingbird,64408,Xeno-Canto,Colombia,"Alto Cantagallos, San Vicente, Yariguies, Santander, 06°49N, 73°22W",6.8137,-73.3648,2004-01-00,Thomas Donegan,http://www.xeno-canto.org/64408
39,Adelomyia melanogenys,Speckled Hummingbird,94059,Xeno-Canto,Colombia,FARALLON DE MEDINA,4.5834,-73.4834,5/04/07,Oswaldo Cortes,http://www.xeno-canto.org/94059
40,Adelomyia melanogenys,Speckled Hummingbird,95877,Xeno-Canto,Colombia,reserve located at La Mesenia to protect the Dusky Starfrontlet,5.483,-75.896,14/02/12,Oswaldo Cortes,http://www.xeno-canto.org/95877
41,Adelomyia melanogenys,Speckled Hummingbird,96211,Xeno-Canto,Colombia,Municipio El Calvario (Meta),4.368,-73.727,3/03/12,Oswaldo Cortes,http://www.xeno-canto.org/96211
42,Adelomyia melanogenys,Speckled Hummingbird,117191,Xeno-Canto,Colombia,"Río Gazaunta cuenca alta, Miralindo, Medina, Cundinamarca",4.584167,-73.43806,0000-00-00,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117191
43,Adelomyia melanogenys,Speckled Hummingbird,117192,Xeno-Canto,Colombia,"Río Gazaunta cuenca alta, Miralindo, Medina, Cundinamarca",4.584167,-73.43806,0000-00-00,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117192
44,Adelomyia melanogenys,Speckled Hummingbird,117193,Xeno-Canto,Colombia,"Río Gazaunta cuenca alta, Miralindo, Medina, Cundinamarca",4.584167,-73.43806,0000-00-00,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117193
45,Adelomyia melanogenys,Speckled Hummingbird,117194,Xeno-Canto,Colombia,"Río Gazaunta cuenca alta, Miralindo, Medina, Cundinamarca",4.584167,-73.43806,0000-00-00,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117194
46,Adelomyia melanogenys,Speckled Hummingbird,117195,Xeno-Canto,Colombia,"PNN Picachos, San vicente del Caguán, Caquetá",2.7975,-74.855,1/11/97,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117195
47,Adelomyia melanogenys,Speckled Hummingbird,117196,Xeno-Canto,Colombia,"PNN Picachos, San vicente del Caguán, Caquetá",2.7975,-74.855,1/11/97,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117196
48,Adelomyia melanogenys,Speckled Hummingbird,117212,Xeno-Canto,Colombia,"Río Gazaunta cuenca alta, Miralindo, Medina, Cundinamarca",4.584167,-73.43806,0000-00-00,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117212
49,Adelomyia melanogenys,Speckled Hummingbird,117213,Xeno-Canto,Colombia,"Río Gazaunta cuenca alta, Miralindo, Medina, Cundinamarca",4.584167,-73.43806,0000-00-00,Mauricio Álvarez Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117213
50,Adelomyia melanogenys,Speckled Hummingbird,117529,Xeno-Canto,Colombia,"Sisavita, Carrizal, Cucutilla, Norte de Santander",7.459445,-72.84556,21/04/02,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117529
51,Adelomyia melanogenys,Speckled Hummingbird,117530,Xeno-Canto,Colombia,"Sisavita, Carrizal, Cucutilla, Norte de Santander",7.438889,-72.84084,25/04/02,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117530
52,Adelomyia melanogenys,Speckled Hummingbird,117545,Xeno-Canto,Colombia,"Sisavita, Carrizal, Cucutilla, Norte de Santander",7.465981,-72.84957,4/04/02,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117545
53,Adelomyia melanogenys,Speckled Hummingbird,117833,Xeno-Canto,Colombia,"Corregimiento de Bitaco, Finca Montebello, Chicoral, La Cumbre, Valle del Cauca",3.565778,-76.5843,29/07/03,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117833
54,Adelomyia melanogenys,Speckled Hummingbird,117848,Xeno-Canto,Colombia,"Corregimiento de Bitaco, Finca Montebello, Chicoral, La Cumbre, Valle del Cauca",3.569111,-76.58872,8/06/03,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117848
55,Adelomyia melanogenys,Speckled Hummingbird,117857,Xeno-Canto,Colombia,"Parque Municipal Campoalegre, Campoalegrito, Santa Rosa de Cabal, Risaralda",4.865,-75.555,29/02/04,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117857
56,Adelomyia melanogenys,Speckled Hummingbird,117891,Xeno-Canto,Colombia,"Apía, Risaralda",5.158056,-76.01667,21/08/04,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117891
57,Adelomyia melanogenys,Speckled Hummingbird,117903,Xeno-Canto,Colombia,"Apía, Risaralda",5.148334,-76.03333,27/08/04,Sergio Córdoba Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117903
58,Adelomyia melanogenys,Speckled Hummingbird,117919,Xeno-Canto,Colombia,"Zona Amortiguación PNN Cueva de los Guacharos, La Argentina, San Agustín, Huila",1.8125,-76.34139,13/08/05,Jorge Enrique Parra (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117919
59,Adelomyia melanogenys,Speckled Hummingbird,117927,Xeno-Canto,Colombia,"Zona Amortiguación PNN Cueva de los Guacharos, El Diviso, Acevedo, Huila",1.674444,-76.07389,17/08/05,Jorge Enrique Parra (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/117927
60,Adelomyia melanogenys,Speckled Hummingbird,127712,Xeno-Canto,Colombia,"Bitaco, Valle",3.5573,-76.5747,8/03/13,Ruben Palacio,http://www.xeno-canto.org/127712
61,Adelomyia melanogenys,Speckled Hummingbird,128072,Xeno-Canto,Colombia,"Cajamarca, Tolima",4.4837,-75.4797,25/03/13,Oscar H. Marín-Gómez,http://www.xeno-canto.org/128072
62,Adelomyia melanogenys,Speckled Hummingbird,147968,Xeno-Canto,Colombia,"Huila, San Agustín, Reserva Los Yalcones, El Palmar. Interfluvio Quebrada El Palmar - Rio Balseros",1.795556,-76.35139,14/08/05,Diego Calderón (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/147968
63,Adelomyia melanogenys,Speckled Hummingbird,148010,Xeno-Canto,Colombia,"Huila, San Agustín, Reserva Los Yalcones, Cerca a la casa de la Reserva",1.81,-76.34972,17/08/05,Diego Calderón (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/148010
64,Adelomyia melanogenys,Speckled Hummingbird,148016,Xeno-Canto,Colombia,"Huila, San Agustín, Reserva Los Yalcones, Cerca a la casa de la Reserva",1.81,-76.34972,20/08/05,Diego Calderón (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/148016
65,Adelomyia melanogenys,Speckled Hummingbird,148028,Xeno-Canto,Colombia,"Huila, San Agustín, Reserva Los Yalcones, Cerca a la casa de la Reserva",1.81,-76.34972,18/08/04,Diego Calderón (Colección de Sonidos Ambientales - Instituto Humboldt),http://www.xeno-canto.org/148028
66,Adelomyia melanogenys,Speckled Hummingbird,245525,Xeno-Canto,Colombia,"Finca La Garantía, Vereda Brisas del Tonce, Chameza, Casanare",5.2537,-72.8784,8/04/15,Oscar Humberto Marín Gómez,http://www.xeno-canto.org/245525
67,Adelomyia melanogenys,Speckled Hummingbird,245542,Xeno-Canto,Colombia,"Finca La Garantía, Vereda Brisas del Tonce, Chameza, Casanare",5.2537,-72.8784,10/04/15,Oscar Humberto Marín Gómez,http://www.xeno-canto.org/245542
68,Adelomyia melanogenys,Speckled Hummingbird,245571,Xeno-Canto,Colombia,"Finca Buenos Aires, Vereda Los Alpes, Recetor, Casanare",5.333,-72.7747,11/04/15,Oscar Humberto Marín Gómez,http://www.xeno-canto.org/245571
69,Adelomyia melanogenys,Speckled Hummingbird,245573,Xeno-Canto,Colombia,"Finca Buenos Aires, Vereda Los Alpes, Recetor, Casanare",5.333,-72.7747,11/04/15,Oscar Humberto Marín Gómez,http://www.xeno-canto.org/245573
70,Adelomyia melanogenys,Speckled Hummingbird,246071,Xeno-Canto,Colombia,"Reserva Paramo La Floresta, Zapatoca, Yariguies, Santander",6.8182,-73.3203,6/01/11,Thomas Donegan,http://www.xeno-canto.org/246071
71,Adelomyia melanogenys,Speckled Hummingbird,246073,Xeno-Canto,Colombia,"Reserva Paramo La Floresta, Zapatoca, Yarigiues, Santander",6.8182,-73.3203,6/01/11,Thomas Donegan,http://www.xeno-canto.org/246073
72,Adelomyia melanogenys,Speckled Hummingbird,246074,Xeno-Canto,Colombia,"Reserva Paramo La Floresta, Zapatoca, Yarigiues, Santander",6.8182,-73.3203,6/01/11,Thomas Donegan,http://www.xeno-canto.org/246074
73,Adelomyia melanogenys,Speckled Hummingbird,246078,Xeno-Canto,Colombia,"Reserva Paramo La Floresta, Zapatoca, Yarigiues, Santander",6.8182,-73.3203,6/01/11,Thomas Donegan,http://www.xeno-canto.org/246078
74,Adelomyia melanogenys,Speckled Hummingbird,273412,Xeno-Canto,Colombia,"RNA Reinita Cielo Azul, San Vicente de Chucurí, Santander, Colombia, 1900m, N",5.846,-73.375,31/01/11,Peter Boesman,http://www.xeno-canto.org/273412
75,Adelomyia melanogenys,Speckled Hummingbird,299428,Xeno-Canto,Colombia,"Bojacá, Cundinamarca",4.684,-74.3544,15/01/16,Sergio Chaparro-Herrera,http://www.xeno-canto.org/299428
76,Adelomyia melanogenys,Speckled Hummingbird,311819,Xeno-Canto,Colombia,"Ventanas, Jardín, Antioquia",5.544,-75.8027,10/02/16,A Edwar H Guarín,http://www.xeno-canto.org/311819
77,Adelomyia melanogenys,Speckled Hummingbird,4216,Xeno-Canto,Ecuador,El Chaco,-0.2501,-77.8001,28/02/05,Wouter Halfwerk,http://www.xeno-canto.org/4216
78,Adelomyia melanogenys,Speckled Hummingbird,6702,Xeno-Canto,Ecuador,"Tandayapa Valley, Pichincha",-0.0167,-78.6834,12/02/01,Nick Athanas,http://www.xeno-canto.org/6702
79,Adelomyia melanogenys,Speckled Hummingbird,17338,Xeno-Canto,Ecuador,"Guango Lodge, Napo",-0.378,-78.075,11/01/08,Andrew Spencer,http://www.xeno-canto.org/17338
80,Adelomyia melanogenys,Speckled Hummingbird,32162,Xeno-Canto,Ecuador,"Tandayapa Valley, Pichincha",-0.0167,-78.6834,7/12/00,Nick Athanas,http://www.xeno-canto.org/32162
81,Adelomyia melanogenys,Speckled Hummingbird,85571,Xeno-Canto,Ecuador,"Chical road, Carchi",0.7889,-78.1351,1/08/11,Andrew Spencer,http://www.xeno-canto.org/85571
82,Adelomyia melanogenys,Speckled Hummingbird,99951,Xeno-Canto,Ecuador,"Parque Universitario [PUEAR], Universidad Nacional de Loja (Loja)",-4.0364,-79.1931,28/04/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/99951
83,Adelomyia melanogenys,Speckled Hummingbird,109543,Xeno-Canto,Ecuador,"Parque Universitario [PUEAR], Universidad Nacional de Loja (Loja)",-4.0364,-79.1931,8/09/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/109543
84,Adelomyia melanogenys,Speckled Hummingbird,109544,Xeno-Canto,Ecuador,"Parque Universitario [PUEAR], Universidad Nacional de Loja (Loja)",-4.0364,-79.1931,8/09/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/109544
85,Adelomyia melanogenys,Speckled Hummingbird,124179,Xeno-Canto,Ecuador,"Sector La Zarza, Cordillera del Cóndor (Zamora Chinchipe)",-3.7782,-78.496,11/11/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/124179
86,Adelomyia melanogenys,Speckled Hummingbird,124180,Xeno-Canto,Ecuador,"Sector La Zarza, Cordillera del Cóndor (Zamora Chinchipe)",-3.7782,-78.496,11/11/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/124180
87,Adelomyia melanogenys,Speckled Hummingbird,126902,Xeno-Canto,Ecuador,"Sector Colibrí, Cordillera del Cóndor (Zamora Chinchipe)",-3.7614,-78.5053,16/11/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/126902
88,Adelomyia melanogenys,Speckled Hummingbird,126906,Xeno-Canto,Ecuador,"Sector Colibrí, Cordillera del Cóndor (Zamora Chinchipe)",-3.7614,-78.5053,16/11/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/126906
89,Adelomyia melanogenys,Speckled Hummingbird,127193,Xeno-Canto,Ecuador,"Sector Colibrí, Cordillera del Cóndor (Zamora Chinchipe)",-3.7614,-78.5053,7/11/12,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/127193
90,Adelomyia melanogenys,Speckled Hummingbird,168483,Xeno-Canto,Ecuador,Área de Conservación Parroquial Amuicha Entza (Zamora - Zamora Chinchipe),-4.083,-78.8588,22/12/13,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/168483
91,Adelomyia melanogenys,Speckled Hummingbird,182930,Xeno-Canto,Ecuador,Parque Nacional Podocarpus - San Francisco (Zamora Chinchipe),-3.9918,-79.1011,18/06/14,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/182930
92,Adelomyia melanogenys,Speckled Hummingbird,182931,Xeno-Canto,Ecuador,Parque Nacional Podocarpus - San Francisco (Zamora Chinchipe),-3.9918,-79.1011,18/06/14,Leonardo Ordóñez-Delgado,http://www.xeno-canto.org/182931
93,Adelomyia melanogenys,Speckled Hummingbird,186570,Xeno-Canto,Ecuador,"Bellavista-Mindo road, Pichincha",-0.0431,-78.7376,4/07/14,GABRIEL LEITE,http://www.xeno-canto.org/186570
94,Adelomyia melanogenys,Speckled Hummingbird,210390,Xeno-Canto,Ecuador,"Reserva Bosque Hanne, Utuana, Loja",-4.3667,-79.7501,16/01/15,Jerome Fischer,http://www.xeno-canto.org/210390
95,Adelomyia melanogenys,Speckled Hummingbird,218196,Xeno-Canto,Ecuador,"San Isidro lodge, Napo",-0.666666667,-77.91666667,21/02/06,Peter Boesman,http://www.xeno-canto.org/218196
96,Adelomyia melanogenys,Speckled Hummingbird,237912,Xeno-Canto,Ecuador,Pichincha: Tandayapa ridge 3 km SSW Tandayapa,-0.017,-78.685,22/09/93,Niels Krabbe,http://www.xeno-canto.org/237912
97,Adelomyia melanogenys,Speckled Hummingbird,237914,Xeno-Canto,Ecuador,Zamora-Chinchipe: Quebrada Honda,-4.489,-79.132,20/01/98,Niels Krabbe,http://www.xeno-canto.org/237914
98,Adelomyia melanogenys,Speckled Hummingbird,237915,Xeno-Canto,Ecuador,Napo: 3.5 km SE Cosanga,-0.6,-77.85,12/03/97,Niels Krabbe,http://www.xeno-canto.org/237915
99,Adelomyia melanogenys,Speckled Hummingbird,237916,Xeno-Canto,Ecuador,Napo: 3.5 km SE Cosanga,-0.6,-77.85,12/03/97,Niels Krabbe,http://www.xeno-canto.org/237916
100,Adelomyia melanogenys,Speckled Hummingbird,237917,Xeno-Canto,Ecuador,Pichincha: Tandayapa ridge 3 km SSW Tandayapa,-0.017,-78.685,29/08/02,Niels Krabbe,http://www.xeno-canto.org/237917
101,Adelomyia melanogenys,Speckled Hummingbird,250444,Xeno-Canto,Ecuador,"Zamora-Chinchipe: Filo de Chumbiriatza, tepui 4.5 km SW Las Orchideas, above ""Cabañas Yankuam"", Nangaritza Valley",-4.267,-78.683,8/04/07,Niels Krabbe,http://www.xeno-canto.org/250444
102,Adelomyia melanogenys,Speckled Hummingbird,257823,Xeno-Canto,Ecuador,"Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,1996-11-00,John V. Moore,http://www.xeno-canto.org/257823
103,Adelomyia melanogenys,Speckled Hummingbird,257824,Xeno-Canto,Ecuador,"Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,1996-11-00,John V. Moore,http://www.xeno-canto.org/257824
104,Adelomyia melanogenys,Speckled Hummingbird,257825,Xeno-Canto,Ecuador,Pichincha: Tandayapa ridge 3 km SSW Tandayapa,-0.017,-78.685,1998-03-00,John V. Moore,http://www.xeno-canto.org/257825
105,Adelomyia melanogenys,Speckled Hummingbird,257826,Xeno-Canto,Ecuador,Pichincha: Tandayapa ridge 3 km SSW Tandayapa,-0.017,-78.685,1998-03-00,John V. Moore,http://www.xeno-canto.org/257826
106,Adelomyia melanogenys,Speckled Hummingbird,260486,Xeno-Canto,Ecuador,"Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,2008-03-00,Mitch Lysinger,http://www.xeno-canto.org/260486
107,Adelomyia melanogenys,Speckled Hummingbird,260487,Xeno-Canto,Ecuador,"Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,29/04/95,Mitch Lysinger,http://www.xeno-canto.org/260487
108,Adelomyia melanogenys,Speckled Hummingbird,260488,Xeno-Canto,Ecuador,"Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,2008-11-00,Mitch Lysinger,http://www.xeno-canto.org/260488
109,Adelomyia melanogenys,Speckled Hummingbird,260489,Xeno-Canto,Ecuador,Pichincha: Tandayapa ridge 3 km SSW Tandayapa,-0.017,-78.685,1998-03-00,Mitch Lysinger,http://www.xeno-canto.org/260489
110,Adelomyia melanogenys,Speckled Hummingbird,5590,Xeno-Canto,Peru,"Corral Grande, Zona Reservada Laquipampa, Ferrenafe, Lambayeque",-6.2814,-79.4534,21/02/06,Willem-Pier Vellinga,http://www.xeno-canto.org/5590
111,Adelomyia melanogenys,Speckled Hummingbird,10983,Xeno-Canto,Peru,"Suiza, Manu Road",NA,NA,29/04/06,Charles Hesse,http://www.xeno-canto.org/10983
112,Adelomyia melanogenys,Speckled Hummingbird,23737,Xeno-Canto,Peru,"Quebrada Honda, Chotas, Cajamarca",-6.387636,-79.103622,14/08/08,Willem-Pier Vellinga,http://www.xeno-canto.org/23737
113,Adelomyia melanogenys,Speckled Hummingbird,27836,Xeno-Canto,Peru,"ACP Abra Patricia-Alto Nieva, San Martín",-5.7009,-77.8123,2006-07-00,David Edwards,http://www.xeno-canto.org/27836
114,Adelomyia melanogenys,Speckled Hummingbird,37730,Xeno-Canto,Peru,"Bosque Paja Blanca, Chotas, Cajamarca",-6.3876,-79.1167,8/08/08,Bob Planqué,http://www.xeno-canto.org/37730
115,Adelomyia melanogenys,Speckled Hummingbird,45834,Xeno-Canto,Peru,"Abra Maruncunca, Puno",-14.2334,-69.2834,9/11/09,Andrew Spencer,http://www.xeno-canto.org/45834
116,Adelomyia melanogenys,Speckled Hummingbird,63097,Xeno-Canto,Peru,"San Pedro (i.e. Cock of the Rock Lodge), Manu Road (1500-1700)",-13.0501,-71.5564,14/10/01,Joseph Tobias and Nathalie Seddon,http://www.xeno-canto.org/63097
